policy,contact_cost,users_per_100k,avg_uplift,incremental_conv_per_100k,gross_value_per_100k,contact_cost_per_100k,net_roi_per_100k
A. Uplift top 30%,0.0,15000,0.003082797023320133,46.2,2312.1,0.0,2312.1
B. Uplift top 10%,0.0,5000,0.0066814894668283005,33.4,1670.37,0.0,1670.37
C. Response top 30%,0.0,15000,0.0024113339959130663,36.2,1808.5,0.0,1808.5
D. Random 30%,0.0,15000,0.0005477086803039948,8.2,410.78,0.0,410.78
A. Uplift top 30%,0.1,15000,0.003082797023320133,46.2,2312.1,1500.0,812.1
B. Uplift top 10%,0.1,5000,0.0066814894668283005,33.4,1670.37,500.0,1170.37
C. Response top 30%,0.1,15000,0.0024113339959130663,36.2,1808.5,1500.0,308.5
D. Random 30%,0.1,15000,0.0005477086803039948,8.2,410.78,1500.0,-1089.22
A. Uplift top 30%,0.25,15000,0.003082797023320133,46.2,2312.1,3750.0,-1437.9
B. Uplift top 10%,0.25,5000,0.0066814894668283005,33.4,1670.37,1250.0,420.37
C. Response top 30%,0.25,15000,0.0024113339959130663,36.2,1808.5,3750.0,-1941.5
D. Random 30%,0.25,15000,0.0005477086803039948,8.2,410.78,3750.0,-3339.22
A. Uplift top 30%,0.5,15000,0.003082797023320133,46.2,2312.1,7500.0,-5187.9
B. Uplift top 10%,0.5,5000,0.0066814894668283005,33.4,1670.37,2500.0,-829.63
C. Response top 30%,0.5,15000,0.0024113339959130663,36.2,1808.5,7500.0,-5691.5
D. Random 30%,0.5,15000,0.0005477086803039948,8.2,410.78,7500.0,-7089.22
A. Uplift top 30%,1.0,15000,0.003082797023320133,46.2,2312.1,15000.0,-12687.9
B. Uplift top 10%,1.0,5000,0.0066814894668283005,33.4,1670.37,5000.0,-3329.63
C. Response top 30%,1.0,15000,0.0024113339959130663,36.2,1808.5,15000.0,-13191.5
D. Random 30%,1.0,15000,0.0005477086803039948,8.2,410.78,15000.0,-14589.22
A. Uplift top 30%,2.0,15000,0.003082797023320133,46.2,2312.1,30000.0,-27687.9
B. Uplift top 10%,2.0,5000,0.0066814894668283005,33.4,1670.37,10000.0,-8329.63
C. Response top 30%,2.0,15000,0.0024113339959130663,36.2,1808.5,30000.0,-28191.5
D. Random 30%,2.0,15000,0.0005477086803039948,8.2,410.78,30000.0,-29589.22
A. Uplift top 30%,5.0,15000,0.003082797023320133,46.2,2312.1,75000.0,-72687.9
B. Uplift top 10%,5.0,5000,0.0066814894668283005,33.4,1670.37,25000.0,-23329.63
C. Response top 30%,5.0,15000,0.0024113339959130663,36.2,1808.5,75000.0,-73191.5
D. Random 30%,5.0,15000,0.0005477086803039948,8.2,410.78,75000.0,-74589.22
